response	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0130	F0177	H0086	F0155	F0056	F0100	H0054
EC__1__3__1__76	2120.90	1221.94	1694.66	1116.08	2026.45	1663.83	 436.96
EC__1__3__1__78	0	0	0	0	0	0	0
EC__1__3__1__85	0	0	0	0	0	0	0
EC__1__3__1__87	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
EC__1__3__1__9	4704.58	4130.00	4814.40	3679.14	4255.41	5290.40	2669.33
EC__1__3__1__98	4441.57	4113.00	4292.94	5952.46	4096.81	4215.15	3413.66
EC__1__3__3__11	0	0	0	0	0	0	0
EC__1__3__3__3	16.17	 3.43	 0.00	 0.00	29.21	 0.00	 1.08
EC__1__3__3__4	13.79	 6.00	 8.05	17.56	10.25	 2.00	 1.00
EC__1__3__3__6	0	0	0	0	0	0	0
EC__1__3__4__1	24.9	 9.0	 2.0	10.5	10.0	10.5	 0.5
EC__1__3__5__1	1127.66	 632.86	1571.42	1160.46	 702.58	2324.00	  52.66
EC__1__3__5__2	116.42	178.43	317.33	  8.00	 68.21	 98.25	  7.08
EC__1__3__5__3	 22.47	 99.43	 84.00	108.00	 57.21	 20.00	 17.08
EC__1__3__5__4	1417.33	2961.06	2518.08	1514.29	1520.00	3977.83	 256.12
EC__1__3__7__9	  5	 60	  0	103	  0	 15	 12
EC__1__3__8__1	2786.00	 493.01	1887.99	1734.00	 853.24	2006.33	 357.08
EC__1__3__8__12	0	0	0	0	0	0	0
EC__1__3__8__2	0	0	0	0	0	0	0
EC__1__3__8__4	0	0	0	0	0	0	0
EC__1__3__8__6	9	0	0	0	0	0	0
EC__1__3__8__7	0	0	0	0	0	0	0
EC__1__3__98__1	 473.40	 321.24	 776.69	 524.41	 523.54	1180.15	  46.67
EC__1__3__99__16	0	0	0	0	0	0	0
EC__1__3__99__22	7831.66	7172.10	7386.73	6502.85	6337.61	7234.48	3303.16
EC__1__3__99__23	0	0	0	0	0	0	0
EC__1__3__99__26	19.5	10.0	 0.0	 8.5	19.5	 4.5	 1.5
EC__1__3__99__28	19.5	10.0	 0.0	 8.5	19.5	 4.5	 1.5
EC__1__3__99__29	19.5	10.0	 0.0	 8.5	19.5	 4.5	 1.5
EC__1__3__99__31	19.5	10.0	 0.0	 8.5	19.5	 4.5	 1.5
EC__1__3__99__33	 82.00	 52.00	501.00	 65.00	162.83	 18.00	 22.00
EC__1__3__99__4	0	0	0	0	0	0	0
EC__1__3__99__5	0	0	0	0	0	0	0
EC__1__4__1__1	 599.60	1082.50	 886.76	1742.71	1055.16	1360.42	2083.17
EC__1__4__1__11	 19.67	 19.00	 24.33	 54.67	  3.00	166.00	 22.00
EC__1__4__1__13	8235.99	9268.88	7701.62	9874.31	8407.58	7789.74	7210.41
EC__1__4__1__14	8235.99	9268.88	7701.62	9874.31	8407.58	7789.74	7210.41
EC__1__4__1__16	2036.84	1652.34	2312.37	2520.81	3144.74	2781.58	2262.33
EC__1__4__1__2	46.33	18.01	 7.66	27.91	17.58	40.33	41.25
EC__1__4__1__20	0	0	0	0	0	0	0
EC__1__4__1__21	139.42	 58.34	533.96	134.84	297.75	666.83	 28.00
EC__1__4__1__24	0	0	0	1	1	0	7
EC__1__4__1__3	 28.06	119.02	  9.32	139.66	 18.00	101.66	 60.00
EC__1__4__1__4	4653.85	4320.00	4522.65	5187.06	4070.83	5437.40	2700.17
EC__1__4__1__9	0	0	0	0	0	0	1
EC__1__4__3__10	2	1	0	2	0	1	0
EC__1__4__3__16	3841.24	3524.78	3567.03	4302.89	3419.04	3644.41	1902.33
EC__1__4__3__19	3.5	1.0	0.0	2.0	0.0	1.0	0.0
EC__1__4__3__21	 0.00	 3.43	 0.00	 0.00	28.96	 0.00	 0.28
EC__1__4__3__4	 1	29	 0	 2	 2	 3	 0
EC__1__4__3__5	243.47	205.43	229.58	384.25	 61.71	432.25	  6.08
EC__1__4__4__2	1971.96	 610.49	1614.42	 649.16	 397.12	1658.73	 232.08
EC__1__4__7__1	2317.83	2215.84	2021.49	3631.33	3107.00	2765.33	2374.00
EC__1__4__9__1	0	0	0	0	0	0	0
EC__1__4__99__6	0	0	0	0	0	0	0
EC__1__5__1__10	0.4	0.0	0.0	0.0	0.0	0.0	0.0
