response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
EC__1__15__1__1	2315.25	2544.51	1712.69	2477.93	1988.63	1714.77	1511.74	2403.58	1907.17	3562.15	2347.41	 938.80
EC__1__15__1__2	1312.66	3457.56	2993.18	3018.82	3090.00	3230.66	2335.17	3138.16	2794.99	2606.16	3110.33	1233.50
EC__1__16__1__1	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__16__1__10	25	 0	 0	 0	 1	 0	 0	 1	 0	 0	 0	 0
EC__1__16__1__3	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
EC__1__16__1__9	 0.14	 0.00	 3.43	 0.00	 0.89	 4.39	 0.00	 0.00	29.21	 0.00	 1.08	 0.00
EC__1__16__3__1	1313.55	 588.14	 982.45	 825.99	 888.47	 682.55	 474.25	1591.58	1452.71	1158.91	2158.08	 364.34
EC__1__16__3__2	1979.09	1068.08	1201.77	2472.79	1182.72	1879.92	 941.00	3203.56	2048.70	2780.58	2127.66	 997.59
EC__1__17__1__1	20.0	 5.5	 2.0	50.0	 0.0	 0.0	 0.0	 3.0	12.0	 0.0	 2.0	 8.0
EC__1__17__1__2	4204.59	4538.41	4160.77	4766.37	3176.72	5110.92	4320.00	4730.06	4812.19	4397.58	2696.66	3170.67
EC__1__17__1__4	1857.53	 632.07	1132.81	 312.94	 530.06	 133.53	 219.00	1277.97	 214.34	1014.97	 424.12	 159.00
EC__1__17__1__8	3747.55	5500.07	4650.01	4479.43	3333.77	4711.77	4105.58	5481.79	4626.40	4338.48	4008.25	3270.30
EC__1__17__2__1	0	0	0	0	0	0	0	0	0	0	0	0
EC__1__17__4__1	3786.35	2917.73	5664.69	4165.33	2907.49	4497.21	2084.91	4360.94	5283.07	3873.55	5340.74	2021.09
EC__1__17__4__2	6256.29	6000.08	7849.35	5860.84	4738.77	6778.93	5348.58	9738.22	6766.90	6744.31	7621.25	4095.05
EC__1__17__7__1	3261.59	4326.41	3845.77	4168.37	3104.72	4047.92	3784.00	4474.06	3675.86	4178.58	2641.66	3094.67
EC__1__17__7__3	3261.59	4326.41	3845.77	4168.37	3104.72	4047.92	3784.00	4474.06	3675.86	4178.58	2641.66	3094.67
EC__1__17__99__6	143.98	884.79	451.16	793.86	247.27	 69.86	116.41	175.70	200.09	194.32	 53.08	 88.38
EC__1__18__1__1	68	 2	56	 1	 6	 5	 6	21	 2	 0	39	 4
EC__1__18__1__2	2893.09	4000.94	3656.10	3488.79	2790.97	3874.22	3531.25	3977.26	3332.54	3130.83	2605.08	2752.17
EC__1__18__1__3	 0.14	 7.00	 3.43	 0.00	 7.64	 4.39	 1.00	 1.00	28.96	 1.00	 0.28	 1.00
EC__1__18__6__1	 376.83	 215.73	 421.00	 426.66	 255.00	 350.08	 616.09	 255.58	 199.73	1937.33	  99.91	 148.84
EC__1__2__1__10	3262.74	2569.56	3757.93	1890.56	1764.58	3236.63	3179.83	2668.48	3175.21	1306.40	2589.78	3892.63
EC__1__2__1__11	3305.72	4410.57	3983.00	4114.77	3109.52	4100.69	3784.33	4492.96	3887.99	4181.65	2658.33	3105.80
EC__1__2__1__12	3497.61	4647.74	4049.43	4251.77	3274.91	4314.50	3875.08	4532.54	3943.78	4240.65	2712.46	3149.30
EC__1__2__1__16	 13.53	 35.92	 26.86	  8.75	 19.78	 30.28	  2.25	  6.25	135.92	  1.00	 17.96	  7.25
