response	Responder	Responder	Responder	Responder	Responder	Responder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder	Nonresponder
sample	F0098	F0130	F0177	H0086	H0148	H0479	F0066	F0155	F0056	F0100	H0054	H0063
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XI__g_Parvimonas	0.00	0.00	0.00	0.00	0.00	0.84	0.00	0.00	0.02	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XI__g_Peptoniphilus	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XII__g_Fusibacter	0.00	0.12	0.00	0.02	0.10	0.00	0.04	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XIII__g_Anaerovorax	0.00	0.00	0.00	0.00	0.04	0.12	0.02	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XIII__g_Mogibacterium	0.00	0.00	0.46	0.08	0.04	0.00	0.04	0.00	0.00	0.00	0.10	0.12
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Clostridiales_Incertae_Sedis_XIII__g_unassigned	0.00	0.00	0.00	0.00	0.08	0.02	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Eubacteriaceae__g_Anaerofustis	0.00	0.04	0.00	0.00	0.02	0.08	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Eubacteriaceae__g_Eubacterium	0.02	0.12	0.06	0.62	0.08	0.58	1.06	0.12	0.28	0.00	0.02	0.08
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Gracilibacteraceae__g_Gracilibacter	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Gracilibacteraceae__g_Lutispora	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Incertae_Sedis_XI__g_Clostridium_XII	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Incertae_sedis__g_Incertae_sedis	0.04	0.18	0.00	0.08	0.10	0.00	0.16	0.06	0.00	0.00	0.02	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Anaerostipes	0.02	0.02	0.52	0.08	0.00	0.04	0.04	0.04	0.10	0.42	0.00	0.02
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Blautia	 2.80	 4.50	 4.92	 7.88	 2.24	21.18	 5.72	 5.22	23.00	12.16	 0.68	 1.24
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Butyrivibrio	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Cellulosilyticum	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Clostridium_XlVa	 4.52	 9.20	 5.36	10.28	 9.18	 5.16	 8.12	 5.76	11.70	 6.78	 2.22	 1.56
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Clostridium_XlVb	0.10	0.10	0.50	0.22	0.10	0.08	0.00	0.36	0.02	0.12	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Coprococcus	0.04	0.00	0.00	1.36	0.28	0.02	2.56	0.28	0.06	0.00	0.02	0.06
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Dorea	0.96	1.68	0.26	0.34	1.00	0.52	1.36	3.28	1.06	1.84	0.00	0.36
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Howardella	0	0	0	0	0	0	0	0	0	0	0	0
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Incertae_sedis	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Lachnobacterium	0.00	0.42	0.20	2.22	0.70	2.60	1.88	0.00	0.92	0.00	0.00	0.78
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Lactonifactor	0.00	0.00	0.08	0.00	0.00	0.02	0.00	0.00	0.00	0.02	0.00	0.02
k_Bacteria__p_Firmicutes__c_Clostridia__o_Clostridiales__f_Lachnospiraceae__g_Marvinbryantia	0	0	0	0	0	0	0	0	0	0	0	0
